Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,jakarta barat,tambora,pekojan,3706,5745,6057,85,23,7,2,5,4,5,5,3,2,8440,11,4,3,959,3,1,1,2,0,1,2,0,0,0,14,0,0,5,2,13,5,1,0,0,0,0,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,111,0,6,0,1,6,0,21,2,3,0,0,0,0,8,0,93,0,0,459,1,0,14,1483,206
2013,jakarta barat,tambora,roa malaka,435,896,940,38,8,1,2,0,2,1,0,1,0,1444,3,0,4,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,1,0,0,0,0,17,0,0,1,0,0,0,0,0,9,0,0,137,0,0,1,306,71
2013,jakarta barat,tambora,duri selatan,2442,3642,3990,78,44,4,8,7,2,0,7,6,3,4771,5,0,11,426,0,0,0,4,1,2,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,0,0,0,1,0,1,13,0,2,0,0,0,0,0,0,55,0,0,256,0,0,0,1236,284
2013,jakarta barat,kebon jeruk,kebon jeruk,8569,10485,12762,861,861,57,47,112,44,0,23,32,13,13575,186,14,121,1169,91,3,3,20,0,6,1,3,0,3,13,0,1,0,4,27,23,0,4,2,1,1,14,7,68,16,5,0,2,0,1,0,0,0,0,0,0,0,0,0,1,54,590,9,26,5,11,8,20,105,19,45,5,0,0,0,6,3,235,0,0,267,1,0,17,4614,1058
2013,jakarta barat,kebon jeruk,sukabumi utara,6255,7988,9940,471,426,68,34,9,2,1,13,15,1,10200,90,6,10,174,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,2,10,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,584,3,11,3,6,0,6,58,6,9,1,1,1,0,8,1,88,0,0,691,0,0,0,4697,331
2013,jakarta barat,kebon jeruk,sukabumi selatan,6800,7971,9870,261,307,27,23,0,4,0,20,23,1,9143,132,2,4,171,2,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,0,0,0,2,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,459,0,4,1,3,1,4,63,7,16,0,1,0,0,0,0,84,0,0,94,0,0,0,5575,507
2013,jakarta barat,kebon jeruk,kelapa dua,3881,4641,6107,515,539,113,25,5,4,0,9,8,1,6332,79,6,3,243,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,2,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,308,3,11,6,5,2,2,67,7,19,2,1,1,1,7,0,47,0,0,320,0,0,1,2147,392
2013,jakarta barat,kebon jeruk,duri kepa,9136,13771,14635,778,265,20,35,0,4,0,24,33,6,18533,38,2,9,1422,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,11,0,0,0,0,0,39,3,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,357,1,22,7,4,4,8,234,7,11,2,1,0,0,0,2,212,1,0,108,0,0,4,5616,699
2013,jakarta barat,kebon jeruk,kedoya utara,7855,10178,11099,382,148,40,108,9,5,1,15,16,6,13774,27,3,11,930,2,0,0,6,0,2,1,1,1,2,3,1,0,0,0,8,7,0,0,0,0,0,10,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,298,0,12,3,7,5,4,125,8,16,1,1,0,0,1,1,215,0,0,675,0,0,9,3528,545
2013,jakarta barat,kebon jeruk,kedoya selatan,5393,6968,7985,281,244,18,11,4,5,1,6,2,2,10434,25,0,3,930,1,0,0,6,0,0,0,1,0,0,4,0,0,1,0,3,8,0,0,0,0,0,18,3,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,342,1,12,4,3,2,8,103,6,12,3,2,0,0,0,0,108,0,0,295,0,0,0,1908,146
