Tahun,Kabupaten,Kecamatan,Kelurahan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,jakarta selatan,kebayoran baru,gandaria utara,22139,21958,463,1096
2015,jakarta selatan,kebayoran baru,cipete utara,18898,18435,316,1000
2015,jakarta selatan,pancoran,pancoran,10709,10145,196,682
2015,jakarta selatan,pancoran,kalibata,23475,22388,361,1422
2015,jakarta selatan,pancoran,rawa jati,10232,10123,301,601
2015,jakarta selatan,pancoran,duren tiga,15714,15057,415,1082
2015,jakarta selatan,pancoran,pengadegan,11145,11288,283,875
2015,jakarta selatan,pancoran,cikoko,6236,6200,110,261
2015,jakarta selatan,jagakarsa,jagakarsa,32442,31730,538,1607
2015,jakarta selatan,jagakarsa,srengseng sawah,30820,29932,517,1954
2015,jakarta selatan,jagakarsa,ciganjur,19271,19416,197,778
2015,jakarta selatan,jagakarsa,lenteng agung,28946,27534,501,1807
2015,jakarta selatan,jagakarsa,tanjung barat,21501,20473,328,1184
2015,jakarta selatan,jagakarsa,cipedak,19508,18683,236,867
2015,jakarta selatan,pesanggrahan,pesanggrahan,15198,14642,196,573
2015,jakarta selatan,pesanggrahan,bintaro,28041,27738,506,1222
2015,jakarta selatan,pesanggrahan,petukangan utara,28868,28164,406,1380
2015,jakarta selatan,pesanggrahan,petukangan selatan,19756,18799,296,1112
2015,jakarta selatan,pesanggrahan,ulujami,22488,21781,249,1055
2015,jakarta timur,matraman,pisangan baru,18211,16839,527,1665
2015,jakarta timur,matraman,utan kayu utara,16067,16182,227,520
2015,jakarta timur,matraman,kayu manis,14746,13971,278,1174
2015,jakarta timur,matraman,pal meriam,11556,11040,206,756
2015,jakarta timur,matraman,kebon manggis,9554,9165,226,776
2015,jakarta timur,matraman,utan kayu selatan,18685,19374,174,845
2015,jakarta timur,pulo gadung,pulo gadung,18784,18870,223,824
2015,jakarta timur,pulo gadung,pisangan timur,23347,23413,375,1170
2015,jakarta timur,pulo gadung,cipinang,22164,23505,216,473
2015,jakarta timur,pulo gadung,jatinegara kaum,13307,13662,144,535
2015,jakarta timur,pulo gadung,rawamangun,21383,20962,328,1131
2015,jakarta timur,pulo gadung,kayu putih,22629,22701,349,1191
2015,jakarta timur,pulo gadung,jati,18033,18461,363,1332
2015,jakarta timur,jatinegara,kampung melayu,15204,14253,295,945
2015,jakarta timur,jatinegara,bidara cina,22380,20125,497,1511
2015,jakarta timur,jatinegara,bali mester,5540,5305,91,255
2015,jakarta timur,jatinegara,rawa bunga,12346,11864,185,948
2015,jakarta timur,jatinegara,cipinang cempedak,18648,17795,505,1374
2015,jakarta timur,jatinegara,cipinang muara,30793,31375,600,1826
2015,jakarta timur,jatinegara,cipinang besar selatan,19710,18873,296,1155
2015,jakarta timur,jatinegara,cipinang besar utara,27999,26834,493,1831
2015,jakarta timur,kramat jati,kramat jati,19453,19148,331,1003
2015,jakarta timur,kramat jati,kampung tengah,24829,23929,194,965
2015,jakarta timur,kramat jati,dukuh,13500,13220,232,765
2015,jakarta timur,kramat jati,batu ampar,26074,25380,328,1002
2015,jakarta timur,kramat jati,bale kambang,15803,14834,245,724
2015,jakarta timur,kramat jati,cililitan,23464,21972,417,1629
2015,jakarta timur,kramat jati,cawang,19520,18388,336,1292
2015,jakarta timur,pasar rebo,gedong,19466,19272,414,936
2015,jakarta timur,pasar rebo,baru,13717,12917,183,543
2015,jakarta timur,pasar rebo,cijantung,22236,22172,298,950
2015,jakarta timur,pasar rebo,kalisari,23395,21890,295,1098
2015,jakarta timur,pasar rebo,pekayon,23339,23161,323,1106
2015,jakarta timur,cakung,jatinegara,46991,50292,220,514
2015,jakarta timur,cakung,rawa terate,14941,15378,160,517
2015,jakarta timur,cakung,penggilingan,53186,51182,635,2568
2015,jakarta timur,cakung,cakung timur,32288,32254,220,822
2015,jakarta timur,cakung,pulo gebang,50142,49514,496,1660
2015,jakarta timur,cakung,ujung menteng,16222,15932,151,629
2015,jakarta timur,cakung,cakung barat,32841,32841,222,1043
2015,jakarta timur,duren sawit,duren sawit,32910,32432,524,2183
2015,jakarta timur,duren sawit,pondok bambu,33566,34211,428,1497
2015,jakarta timur,duren sawit,klender,40106,39299,533,1664
2015,jakarta timur,duren sawit,pondok kelapa,37940,37933,454,1424
2015,jakarta timur,duren sawit,malaka sari,15695,15806,214,991
2015,jakarta timur,duren sawit,malaka jaya,17408,17136,357,1456
2015,jakarta timur,duren sawit,pondok kopi,19635,18878,227,873
2015,jakarta timur,makasar,makasar,18771,19766,209,1105
2015,jakarta timur,makasar,pinang ranti,14648,13959,262,677
2015,jakarta timur,makasar,kebon pala,25899,25447,481,1781
2015,jakarta timur,makasar,halim perdana kusumah,17168,16344,138,633
2015,jakarta timur,makasar,cipinang melayu,24053,23142,377,1421
2015,jakarta timur,ciracas,ciracas,35413,34795,470,1697
2015,jakarta timur,ciracas,cibubur,35399,35381,508,1527
2015,jakarta timur,ciracas,kelapa dua wetan,24322,23861,327,1215
2015,jakarta timur,ciracas,susukan,20810,21264,242,800
2015,jakarta timur,ciracas,rambutan,20343,19775,241,904
2015,jakarta timur,cipayung,cipayung,13790,12596,191,606
2015,jakarta timur,cipayung,cilangkap,14444,13420,171,577
2015,jakarta timur,cipayung,pondok ranggon,13154,12712,142,504
2015,jakarta timur,cipayung,munjul,12508,12239,241,691
2015,jakarta timur,cipayung,setu,10251,10309,143,321
2015,jakarta timur,cipayung,bambu apus,13496,13682,213,519
2015,jakarta timur,cipayung,lubang buaya,34546,33394,323,1528
2015,jakarta timur,cipayung,ceger,10196,9887,105,209
