registrasi,nama_yayasan,alamat,rt,rw,kelurahan,kecamatan,kota_administrasi,no_telepon,pengurus,kegiatan,masa_berlaku
014.31.74.09.1005.38,BADAN SOSIAL (DARMA KASIH GEREJA KRISTEN PASUNDAN),Jl. Nangka No. 3,5,5,Tanjung Barat,Jagakarsa,Jakarta Selatan,021 788451,Mardiasih,Sosial,19 Mei 2014 s/d 18 Mei  2019
014.31.74.05.1004.39,HABITAT KEMANUSIAAN INDONESIA (YHKI),"The Bellezza Shopping Arcade Lt. 2 Unit 25-27, Jl. Letjen. Soepeno No. 34 Arteri Permata Hijau",,,Grogol Utara,Kebayoran Lama,Jakarta Selatan,021 29916074,James Leslie Tumbuan,"Sosial, Kemanusiaan dan  Keagamaan ",23 Mei 2014 s/d 22 Mei  2019
014.31.74.02.1001.40,PENDIDIKAN GURU SETIABUDI SATU,Jl. Setiabudi I Ni. 1,,,Setiabudi,Setiabudi,Jakarta Selatan,021 5279895,"Dra. Zakiah, M.Pd",Sosial,23 Mei 2014 s/d 22 Mei  2019
014.31.74.08.1001.41,JAYA KUSUMA INSAN MANDIRI,"Gedung SME Tower Lt. 10, Jl. Gatot Subroto Kav. 94",,,Pancoran,Pancoran,Jakarta Selatan,021 7872897,Ir. Agus Winarno,"Sosial, Keagamaan dan Kemanusiaan",06 Juni 2014 s/d 05 Juni  2019
014.31.74.04.1001.42,TABITHA AGAPE,"Ruko rajawali Center Blok A No. 9, Jl. Rajawali",7,1,Pasar Minggu,Pasar Minggu,Jakarta Selatan,021  96913155 - 0812 19129247,"Pdt. Oniwati Nurhaidah Turnip, S.Th",Sosial dan Kemanusiaan ,06 Juni 2014 s/d 05 Juni  2019
014.31.74.10.1003.43,KUALITA MUSLIM MANAJEMEN AHLAQ MANUSIA INDONESIA ASMAUL HUSNA,Jl. H. Gaim,4,10,Petukangan Utara,Pesanggrahan,Jakarta Selatan,021 7355206,"Drs. H. Ibnu Hadjar WB, MM","Sosial, Kemanusiaan dan  Keagamaan ",13 Juni 2014 s/d 12 Juni  2019
014.31.74.04.1006.44,BAITUL MAAL HIDAYATULLAH,Jl. H. Samali No. 79 B,,,Pejaten Barat,Pasar Minggu,Jakarta Selatan,021 7975770,Drs. Wahyu  Rahman,Sosial,13 Juni 2014 s/d 12 Juni  2019
014.31.74.01.1002.45,TEMAN BAIK,Jl. Tebet barat 6 H,12,4,Tebet Barat,Tebet,Jakarta Selatan,021 83784625,Endang Trismisari,Sosial dan Kemanusiaan ,13 Juni 2014 s/d 12 Juni  2019
014.31.74.07.1008.46,BAKTI IBU NUR SAKINAH,Jl. Cipaku I Pasar Santa Blok A No. 55,,,Petogogan,Kebayoran Baru,Jakarta Selatan,021 7203665,Arwin,"Sosial, Kemanusiaan dan  Keagamaan ",13 Juni 2014 s/d 12 Juni  2019
014.31.74.01.1005.47,AL KIFAHI AL TSAQAFI TEBET,Jl. Roos Timur V No. 27,5,5,Bukit Duri,Tebet,Jakarta Selatan,021 8281238,Sakinah Assegaff,"Sosial, Kemanusiaan dan  Keagamaan ",13 Juni 2014 s/d 12 Juni  2019
014.31.74.02.1003.48,AL-ANDALUSIA PELA,Jl. Bangka II Gg. V No. 27,1,2,Pela Mampang,Mampang Prapatan,Jakarta Selatan,021 7183202,H. Sadruddin  Hidayatullah,"Sosial, Keagamaan dan Kemanusiaan",13 Juni 2014 s/d 12 Juni  2019
014.31.74.02.1005.49,DUA BELAS SEMBILAN ENAM PULUH,Apartemen Taman Rasuna Lantai Dasar Podium Selatan,,,Menteng Atas,Setiabudi,Jakarta Selatan,021 93902528 - 021 93902529,A. Sri Pratjajanti,"Sosial, Keagamaan dan Kemanusiaan",23 Juni 2014 s/d 22 Juni  2019
014.31.74.06.1002.50,WAKAF PARAMADINA,Ruko Indah Plaza Blok A-2/RWD 12 Jl. Karang Tengah Raya,,,Lebak Bulus,Cilandak,Jakarta Selatan,021 7655253,Prof. Dr. Didik Junaedi Rachbini,Sosial dan Keagamaan ,26 Juni 2014 s/d 25 Juni  2019
014.31.74.04.1002.51,IATIM PIATU DAN FAKIR MISKIN,Jl. Ketapang,6,2,Jatipadang,Pasar Minggu,Jakarta Selatan,021 7821724,"Cholid Mawardi, SE",Sosial dan Keagamaan ,26 Juni 2014 s/d 25 Juni  2019
014.31.74.01.1006.52,BINA PRESTASI NUSANTARA,"Wisma Laena Lt. 3, Jl. KH. Abdullah Syafei No. 7",,,Manggarai Selatan,Tebet,Jakarta Selatan,021 83795616,"H. Tafsirudin Laena, SE","Sosial, Kemanusiaan dan  Keagamaan ",26 Juni 2014 s/d 25 Juni  2019
014.31.74.02.1004.53,MUSIK INDONESIA,"Gedung Yamaha Music Center, Jl. Jend. Gatot Subroto Kav. 4",2,4,Karet,Setiabudi,Jakarta Selatan,021 5202577 - 021 5202578,Ryo Kasai,Pendidikan Musik,02 Juli 2014 s/d 01 Juli  2019
014.31.74.02.1005.54,SITI RABIATUL ADWIYAH,"Rasuna Office Park Unit KR-03, Jl. HR. Rasuna Said Kuningan",,,Menteng Atas,Setiabudi,Jakarta Selatan,021 83706678 - 021 93903844,H. Syamsul Munir,Sosial dan Keagamaan ,02 Juli 2014 s/d 01 Juli  2019
014.31.74.03.1005.55,PENDIDIKAN ISLAM DARUSSALAM (YAPAD),Jl. Kuningan Barat IV,11,1,Kuningan Barat,Mampang Prapatan,Jakarta Selatan,,Mursyidin Syamsie . M,Sosial dan Kemanusiaan,10 Juli 2014 s/d 09 Juli  2019
014.31.74.04.1007.56,SEKOLAH IZARA,Jl. Joe No. 90,7,4,Kebagusan,Pasar Minggu,Jakarta Selatan,,Fauqi Hapidekso,"Sosial, Keagamaan dan Kemanusiaan",10 Juli 2014 s/d 09 Juli  2019
014.31.74.09.1005.57,AL-A'RAAF TANJUNG BARAT,Jl. Delima Poltangan,1,4,Tanjung Barat,Jagakarsa,Jakarta Selatan,,Abdul Rauf,"Sosial, Kemanusiaan dan  Keagamaan ",10 Juli 2014 s/d 09 Juli  2019
014.31.74.06.1005.58,SWASTISVARNA,Jl. RS. Fatmawati No. 32 A,1,5,Cipete Selatan,Cilandak,Jakarta Selatan,021 33992222,"Dra. Setyo Ediningsih, MM",Sosial dan Kemanusiaan,16 Juli 2014 s/d 15 Juli  2019
014.31.74.01.1005.59,GENERASI MUDA CERDAS (YOUNGER SMART GENERATION FOUNDATION),Jl Kampung Melayu Kecil II No. 39,6,10,Bukit Duri,Tebet,Jakarta Selatan,0815 11370600,Arie Astuti Setyorini,Sosial dan Kemanusiaan,16 Juli 2014 s/d 15 Juli  2019
014.31.74.02.1008.60,AGAPE MARANATHA,Jl. Patra Kuningan XIV,6,4,Kuningan Timur,Setiabudi,Jakarta Selatan,021 52904386,"Ricky Napitupulu, MBA","Keagamaan, Sosial dan Kemanusiaan",25 Juli 2014 s/d 24 Juli  2019
014.31.74.05.1001.61,KOMUNITAS PERWIRA AKADEMI ANGKATAN BERSENJATA REPUBLIK INDONESIA 1978 (YAYASAN KOMPAK 78),Gandari City Lt. 5 Unit 3-4 Jl. Sultan Iskandar Muda,,,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,,"Drs. Oeroseno, SH",Sosial dan Kemanusiaan,05 Agustus 2014 s/d 04 Agustus  2019
014.31.74.10.1003.62,PENDIDIKAN BUDI LUHUR CAKTI,Jl. Raya Cileduk,10,2,Petukangan Utara,Kebayoran Lama,Jakarta Selatan,,"Kasih Hanggoro, MBA",Sosial,06 Agustus 2014 s/d 05 Agustus  2019
014.31.74.05.1004.63,KASIH SAHABAT SEJATI,"Julius S. Gondomulio The Bellezza Shopping Arcade Lt. 3 SA.356, Jl. Letjen Soepeno No. 34 Arteri Permata Hijau",,,Grogol Utara,Kebayoran Lama,Jakarta Selatan,,Julius S. Gondomulio,Sosial,08 Agustus 2014 s/d 07 Agustus  2019
014.31.74.09.1001.64,AL-FITRI,Jl. Kebagusan Raya No. 14,7,3,Jagakarsa,Jagakarsa,Jakarta Selatan,,Sri Ramadhani Sujai. Sak,"Sosial, Kemanusiaan dan  Keagamaan ",25 Agustus 2014 s/d 24 Agustus  2019
014.31.74.07.1006.65,DAYA DARA INDONESIA,"Gedung One Pasific Place Lt. 15, Jl. Jend. Sudirman Kav. 52-53",,,Senayan,Kebayoran Baru,Jakarta Selatan,,Barbara Samanta Islan,Sosial,25 Agustus 2014 s/d 24 Agustus  2019
014.31.74.02.1004.66,BATAVIA PROPERINDO PEDULI,"Gedung Chase Plaza Lt. 12, Jl. Jend. Sudirman",,,Karet,Setiabudi,Jakarta Selatan,,Irene Istary Iskandar,Sosial dan Kemanusiaan,27 Agustus 2014 s/d 26 Agustus  2019
014.31.74.09.1004.67,SAYANGI TUNAS CILIK,Jl. Taman Margasatwa No. 26 C,,,Ragunan,Pasar Minggu,Jakarta Selatan,,Ricardo  Felix Calvando,"Sosial, Kemanusiaan dan  Keagamaan ",28 Agustus 2014 s/d 29 Agustus  2019
014.31.74.09.1001.68,ROSA KARTIKA,Jl. Jagakarsa II No. 17/RWB,1,7,Jagakarsa,Jagakarsa,Jakarta Selatan,7270212,DR. Tipri Rose Kartika,Kesehatan Masyarakat,16 September 2014 s/d 15 September 2019
014.31.74.03.1004.69,KELUARGA BESAR STURM ABTEILUNG CORPS SUKARELA,Jl. Mampang Prapatan Raya No. 71-73 Gedung Multika Lt. 2,,,Tegal Parang,Mampang Prapatan,Jakarta Selatan,021 7975229 - 021 7975209,Ir. Ronni Saroso,Sosial,16 September 2014 s/d 15 September 2019
014.31.74.07.1004.70,INDONESIA CERDAS UNGUL,"Geduing Equity Tower Lt. 39 Suite D.G.H SCBD Lot. 9, Jl, Jend. Sudirman Kav. 52-53",,,Senayan,Kebayoran Baru,Jakarta Selatan,021 5151277,Agus Widjojo,Sosial dan Kemanusiaan,26 September 2014 s/d 25 September 2019
014.31.74.06.1001.71,SEKOLAH BELAJAR AKTIF INDONESIA 1996,Jl. TB. Simatupang No. 8 Lt.3,3,2,Cilandak Barat,Cilandak,Jakarta Selatan,021  75917888,Drs. Supriadi,"Sosial, Keagamaan dan Kemanusiaan",26 September 2014 s/d 25 September 2019
014.31.74.02.1001.72,FORUM MODE INDONESIA,Jl. HR. Rasuna Said Kav. 30-33,,,Setiabudi,Setiabudi,Jakarta Selatan,021 5266666 - 021 5209366,Lenni Tedja,Sosial,26 September 2014 s/d 25 September 2019
014.31.74.04.1002.73,RAUDHATUL ASYIQIN JATI PADANG,Jl. Achmad Yani No. 31,6,6,Jatipadang,Pasar Minggu,Jakarta Selatan,021 78831823,Awang Suharja,"Sosial, Kemanusiaan dan  Keagamaan ",26 September 2014 s/d 25 September 2019
014.31.74.07.1007.74,FILANTROPI SEMESTA,"Dharmawangsa Square Lt. 1 No. 57, Jl. Dharmawangsa VI dan IX",,,Pulo,Kebayoran Baru,Jakarta Selatan,021 72788335,Dede Gusman,"Sosial, Kemanusiaan dan  Keagamaan ",03 Oktober 2014 s/d 02 Oktober 2019
014.31.74.02.1008.75,PUSAT EKSEKUTIF KEPEMIMPINAN GLOBAL,"Menara Karya Lt. 27, Jl. HR. Rasuna Said Blok X-5 Kav. 1-2",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 5762834,"Tantri Abeng, MBA",Sosial,09 Oktober 2014 s/d 08 Oktober 2019
014.31.74.07.1001.76,TRANSPORMASI KEBIJAKAN PUBLIK INDONESIA,"Gd. Graha Iskandar Syah Lt. II, Jl. Iskandar Syah Raya No. 66 C",,,Melawai,Kebayoran Baru,Jakarta Selatan,021 2702401 - 021 2702402,Nugroho Wienarto,Sosial,14 Oktober 2014 s/d 13 Oktober 2019
014.31.74.06.1005.77,AS-SAJAADUN AL-MUSLIHUN INDONESIA,Jl. Puri Kencana No. 39,10,6,Cipete Selatan,Cilandak,Jakarta Selatan,021 75908908,Ir. Tempa Imandafa,"Sosial, Kemanusiaan dan  Keagamaan ",13 Oktober 2014 s/d 12 Oktober 2019
014.31.74.03.1005.78,ANAK PARADO CERDAS,"Palm Court Apartemen Tower II, Jl. Jend. Gatot Subroto Kav. 26-27",,,Kuningan Barat,Mampang Prapatan,Jakarta Selatan,021 5206188,H. Ahmad Rachmawan,"Sosial, Kemanusiaan dan  Keagamaan ",27 Oktober 2014 s/d 26 Oktober 2019
014.31.74.02.1001.79,TEMU TANAM INDONESIA,"Gd. Sudirman Plaza Complex Plaza Marein Lt. 11, Jl. Jend. Sudirman Kav. 76-78",,,Setiabudi,Setiabudi,Jakarta Selatan,021 29305017,Indra Dipa Ananda,Sosial dan Kemanusiaan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.74.04.1007.80,NUR KEBAGUSAN,Jl. Kebagusan Raya No. 5,5,1,Kebagusan,Pasar Minggu,Jakarta Selatan,021 7827289,Nuryati Hasan Sanusi,"Sosial, Kemanusiaan dan  Keagamaan ",27 Oktober 2014 s/d 26 Oktober 2019
014.31.74.02.1008.81,LEMBAGA PENDIDIKAN KEJURUAN SAINT MARY INTERNATIONAL,"Patra Jasa Office Tower Lt. 10 Ruang 1034, Jl. Jend. Gatot Subroto Kav. 32034",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 52900635,"Yohanes Sulistyadi, M.Pd","Sosial, Kesehatan, Pendidikan dan  Keagamaan ",27 Oktober 2014 s/d 26 Oktober 2019
014.31.74.06.1001.82,SESAWI (SESAMA SAHABAT WARGA IGNATIAN),Jl. Gaharu III,3,11,Cilandak Barat,Cilandak,Jakarta Selatan,021 7691879,Markus Christinus Sunarto,"Sosial, Kemanusiaan dan  Keagamaan ",27 Oktober 2014 s/d 26 Oktober 2019
014.31.74.02.1008.83,ASAKI,"Menara Kadin Indonesia Lt. Ground Floor, Jl. HR. Rasuna Said Blok X-5 Kav. 2-3",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 5274212,Ir. Elisa P. Sinaga,Sosial,03 Nopember 2014 s/d 02 Nopember 2019
014.31.74.07.1001.84,PANSOPHIA NUSANTARA,"Wisma Adityawarman Lt. 5, Jl. Adityawarman I No. 42",,,Melawai,Kebayoran Baru,Jakarta Selatan,021 7264972,Mayke Sumarauw,Sosial dan Kemanusiaan,04 Nopember 2014 s/d 03 Nopember 2019
014.31.74.09.1006.85,ORSOS AISYIYAH JAKARTA SELATAN,Jl. M. Kahfi II,6,3,Cipedak,Jagakarsa,Jakarta Selatan,021 78886045,"Dra. Hj. Nurdiati Akma, M.Si","Sosial, Pendidikan dan  Keagamaan ",05 Nopember 2014 s/d 04 Nopember 2019
014.31.74.07.1001.86,MATA RAJA,Jl. Panglima Polim V,6,4,Melawai,Kebayoran Baru,Jakarta Selatan,021 7222407,DR. M. Simarmata,"Sosial, Kemanusiaan dan  Keagamaan ",24 Nopember 2014 s/d 23 Nopember 2019
014.31.74.02.1003.87,GEMA KRISTUS DAMAI INDONESIA (YGKDI),"Gd. Parkir Menara Kuningan Lt. Function Hall, Jl. HR. Rasuna Said Blok X-7 Kav. 5",,,Karet Kuningan,Setiabudi,Jakarta Selatan,021 30015773,Kiky Suherlan,Sosial,24 Nopember 2014 s/d 23 Nopember 2019
014.31.74.04.1006.88,LEBAH KREATIF,Jl. Attahiriyah No. 11,8,3,Pejaten Barat,Pasar Minggu,Jakarta Selatan,021 79945502,Syafiih Azami,Sosial,26 Nopember 2014 s/d 25 Nopember 2019
014.31.74.09.1003.89,PENDIDIKAN DAN PELATIHAN PELITA GLOBAL,Jl. Kahfi II Perumahan Casamora Blok BB/RW14-18 RT002/RW04,2,4,Ciganjur ,Jagakarsa,Jakarta Selatan,021 28756777,Dra. Fauziah,Sosial dan Kemanusiaan,08 Desember 2014 s/d 07 Desember 2019
014.31.74.06.1001.90,PANCA SAKTI BUKIT HERMON,Jl. Lebak Bulus V No. 52,6,4,Cilandak Barat,Cilandak,Jakarta Selatan,,"Robert Siregar, SE, MM",Sosial dan Pendidikan,12 Desember 2014 s/d 11 Desember 2019
014.31.74.02.1008.91,TAP PEDULI ANAK,"The East Lt. 23, Jl. DR. Ide Anak Agung Gde Agung Kav. E.3-2 No. 1",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 57944737,Arif Rachmat,Sosial dan Kemanusiaan,16 Desember 2014 s/d 15 Desember 2019
014.31.74.06.1001.92,AMIE PEDULI,Jl. Fatmawati Raya No. 6A,1,3,Cilandak Barat,Cilandak,Jakarta Selatan,021 75917940,"Diah Parmi Ati, SE",Sosial,16 Desember 2014 s/d 15 Desember 2019
014.31.74.02.1003.93,PURBA ADHI,"Gd. Menara Kuningan Lt. 3 Unit L.M, Jl. HR. Rasuna Said Blok X-7 Kav. 5",,,Karet Kuningan,Setiabudi,Jakarta Selatan,021 30015977,Purbadi Hardjoprajitno,"Keagamaan, Sosial,  dan  Kemanusiaan",16 Desember 2014 s/d 15 Desember 2019
014.31.74.06.1010.94,BHAKTI YOGYA,"Komp. Duta Mas Fatmawati Blok C-2 No. 2 Lt. 2, Jl. RS. Fatmawati No. 39",,,Cipete Utara,Kebayoran Baru,Jakarta Selatan,021 5263839 - 021 5263840,Ir. A. Sutjipto,Sosial dan Kemanusiaan,16 Desember 2014 s/d 15 Desember 2019
014.31.74.10.1001.95,CIKAL MANDIRI BINTARO,Jl. Garuda No. 36,5,6,Pesanggrahan,Pesanggrahan,Jakarta Selatan,,Rahmat Hidayat,"Sosial, Kemanusiaan dan  Keagamaan ",16 Desember 2014 s/d 15 Desember 2019
014.31.74.02.1008.96,KITLU JAKARTA,"Kedutaan Besar Kerajaan Belanda, Jl. HR. Rasuna Said Kav. DS-3",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 5275988,Dr. Roger Gerard Tol,Sosial dan Kemanusiaan,16 Desember 2014 s/d 15 Desember 2019
014.31.74.05.1006.98,ISLAM AL-MUBAROKAH TANAH KUSIR,Jl. Tanah Kusir II,12,9,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,021 70501874,"Mustofa Syarif, S.Sos,M.Si","Sosial, Keagamaan dan Kemanusiaan",31 Desember 2014 s/d 30 Desember 2019
014.31.75.04.1002.01, LEMBAGA BANTUAN HUKUM APIK JAKARTA,Jl. Raya Tengah No.16,1,9,Tengah,Kramat Jati,Jakarta Selatan,021 87797289,"Ratna Batara Munti,M.Si",Bantuan Hukum,02 Januari 2014 s/d 01 Januari 2019
014.31.75.04.1002.02,PENDIDIKAN DAN PEMBINAAN GENGRASI KUSUMA,Jl. Pipar,6,4,Dukuh,Kramat Jati,Jakarta Timur,021 87792180,Abdul Gofar,Sosial Keagamaan Dan Kemanusiaan,02 Januari 2014 s/d 01 Januari 2019
014.31.75.03.1006.03,PERGURUAN AJI RASA,Jl. Cipinang Bali Ii,7,4,Cipinang Muara,Jatinegara,Jakarta Timur,,H. Marhasan,Sosial Keagamaan Dan Kemanusiaan,02 Januari 2014 s/d 01 Januari 2019
014.31.75.02.1004.04,PERGURUAN ADVEN RAWAMANGUN ,Jl. Pinang No.24,5,8,Rawamangun,Pulo Gadung,Jakarta Timur,021 4720135,"Doharedo Zulkifli Sihotang,Se",Sosial Keagamaan Dan Kemanusiaan,02 Januari 2014 s/d 01 Januari 2019
014.31.75.08.1003.05,BATU KARANG CIRACAS,Jl. Raya Ciracas N0.10,5,6,Ciracas,Ciracas,Jakarta Timur,021 8715115,Daniel Rusli,Sosial dan Keagamaan,02 Januari 2014 s/d 01 Januari 2019
014.31.75.08.1003.06,YADIRA,Jl. Raya Ciracas No.1,1,11,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 87700505,Arifin Sape,Sosial Keagamaan Dan Kemanusiaan,02 Januari 2014 s/d 01 Januari 2019
014.31.75.03.1004.07,SWARA PEDULI INDONESIA JAKARTA,Jl. H.Kaiman No.17,2,5,Rawabunga,Jatinegara,Jakarta Timur,021 70798085,Endang Mintarja,Sosial Keagamaan Dan Kemanusiaan,16 Januari 2014 s/d 15 Januari 2019
014.31.75.06.1001.08,SATU UNTUK NEGERI INDONESIA,Jl. Rawa Terate Ii No.2 Kawasan Industri Pulo Gadung,,,Jatinegara,Cakung,Jakarta Timur,021 4613545,Ivan Naviansyah,Sosial Keagamaan Dan Kemanusiaan,16 Januari 2014 s/d 15 Januari 2019
014.31.75.06.007.09,YEDIJA BINA PERSATUAN,Jl. Dewi Sartika Graha Sartika No.357 B,,,Cakung,Kramat Jati,Jakarta Timur,021 80873794,Basirun Sinaga,Sosial Keagamaan Dan Kemanusiaan,16 Januari 2014 s/d 15 Januari 2019
014.31.75.08.1004.10,KHUDHU ULUM,Jl. Tanah Merdeka,5,6,Susukan,Ciracas,Jakarta Timur,021 8410589,Kiki Rizky Diah Pratiwi,Sosial,30 Januari 2014 s/d 29 Januari 2019
014.31.75.03.1006.11,PENDIDIKAN ISLAM AR. RIQQAH JAKARTA,Jl. Cipinang Muara 66,2,4,Cipinang Muara,Jatinegara,Jakarta Timur,021 85909723,"Mursini, Spd",Sosial Kemanusiaan Dan Keagamaan,30 Januari 2014 s/d 29 Januari 2019
014.31.75.08.1003.12,HIDUP POSITIF,Jl. Darusalam,1,12,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 91214792,Syahyan,Sosial,30 Januari 2014 s/d 29 Januari 2019
014.31.75.05.1001.13,HIDAYAH PEMERSATU UMAT INDONESIA,Jl. Trikara Raya No.7,5,2,Gedong,Pasar Rebo,Jakarta Timur,021 31783345,Sri Astuti,Pendidikan Kemanusiaan Dan Keagamaan,30 Januari 2014 s/d 29 Januari 2019
014.31.75.08.1003.14,PENUNTUN TUNAS BANGSA CIRACAS,Jl. Masjid At.Taufiq No.26,6,11,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 8719136,Wakidi,Pendidikan Dan Sosial,30 Januari 2014 s/d 29 Januari 2019
014.31.75.08.1001.15,FADLUR RAHMAN AZZAHRA,Komplek Polri,7,4,Ciracas,Ciracas,Jakarta Timur,,Drs.H.Ali Mukadam.Mm,Pendidikan Dan Sosial,30 Januari 2014 s/d 29 Januari 2019
014.31.75.08.1003.16,ROSE JAYA,Jl. Anggur,3,12,Kelapa Dua Wetan,Ciracas,Jakarta Timur,,"Amir Hamzah, B.Ba",Pendidikan Dan Sosial,30 Januari 2014 s/d 29 Januari 2019
014.31.75.08.1003.17,PENDIDIKAN FAJAR UTAMA CIRACAS,Jl. Raya Centex,8,2,Ciracas,Ciracas,Jakarta Timur,,"Fajar Andrini, S.Tp",Sosial Dan Keagamaan,11 Februari 2014 s/d 10 Februari 2019
014.31.75.10.1004.18,ABDI PRATAMA,Jl. Hankam 4,2,5,Munjul,Cipayung,Jakarta Timur,,"Drs. Dasuki, M.Pd",Sosial Kemanusiaan Dan Keagamaan,17 Februari 2014 s/d 16 Februari 2019
014.31.75.06.1005.19,WIRITOMO,Jl. Raya Pulo Gebang Gg. Swadaya No. 36,6,4,Pulo Gebang,Cakung,Jakarta Timur,021 4803977,"Sutomo Hadi Siswoyo,S.Pd",Sosial Kemanusiaan Dan Keagamaan,10 Maret 2014 s/d 09 Maret 2019
014.31.75.02.1005.20,KIBAR INDONESIA,Jl. Waru No. 21 C,1,9,Rawamangun,Pulogadung,Jakarta Timur,021 47881393,Ir. Nurcahyo Riswanto,Sosial dan Kemanusiaan ,10 Maret 2014 s/d 09 Maret 2019
014.31.75.08.1003.21,PENDIDIKAN NURUL ANSOR,,7,11,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 70822004,Acih Nasir,"Pendidikan, Keagamaan dan Sosial",10 Maret 2014 s/d 09 Maret 2019
014.31.75.10.1005.22,HARAPAN AL-MISFALAH 54-89,Jl. Bantar Jati No. 16,8,2,Setu,Cipayung,Jakarta Timur,021 84992381,"Prof. H. Rusdi Malik, SH,MH",Sosial Kemanusiaan Dan Keagamaan,18 Maret 2014 s/d 17 Maret 2019
014.31.75.03.1007.23,SALAM MU'MININ,Jl. Cipinang Besar Selatan No. 13,10,6,Cipinang Besar Selatan,Jatinegara,Jakarta Timur,021 85905567,"Iis Wahyuni, S.Pd",Sosial Dan Keagamaan,18 Maret 2014 s/d 17 Maret 2019
014.31.75.09.1001.24,PERKUMPULAN PAGUYUBAN HESTHI BUDAYA NUSANTARA,Jl. Gelanggang Remaja No. 1,1,5,Makasar,Makasar,Jakarta Timur,021 8097938,"H. Mohamad Santoso, SE",Sosial,26 Maret 2014 s/d 25 Maret 2019
014.31.75.07.1004.25,MISBAHUR ROHIMIN,Jl. Pondok Kelapa I,4,5,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 96173000,Heriyanto,Sosial Kemanusiaan Dan Keagamaan,02 April 2014 s/d 01 April 2019
014.31.75.07.1004.26,PENDIDIKAN ISLAM AL HIDAYAH PONDOK KELAPA,Jl. Swakarsa IV No. 3A,4,2,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 86901592,R.D. Lala Islami,Sosial Kemanusiaan Dan Keagamaan,21 April 2014 s/d 20 April 2019
