Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,JAKARTA UTARA,CILINCING,ROROTAN,7084,8024,10544,260,333,128,175,5,215,5,42,7,5,8910,55,1,19,1268,17,,,,1,,,,,1,2,,,,,5,3,,,,,,4,,9,2,1,,,,,,,,,,,,,,,17,596,,1,,,,2,19,21,62,4,1,,,117,,188,,,252,,,,2195,460
2013,JAKARTA UTARA,CILINCING,SEMPER BARAT,13432,15726,18458,704,1069,407,108,1,5,3,20,16,18,19297,64,5,83,2703,1,,,3,,,,,,,5,,,,,5,28,,,,,,32,,13,,,,,,,,,,,,,,,,,26,697,1,18,,,,2,46,25,105,3,,,,356,1,448,1,1,779,,,4,4263,947
2013,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,6088,8653,8866,221,157,38,24,3,2,1,4,6,3,13095,28,,4,1010,,,,7,,,,,,,40,,,,,17,3,2,,,,,15,6,8,1,,,,,1,,,,,,,,,,,17,241,1,3,1,3,1,3,48,4,9,,,,,20,,122,,,480,,,4,2810,317
2013,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,14162,18031,18358,245,179,97,35,17,3,,41,28,9,24733,30,1,10,4152,4,,,1,,,,,,,16,,,,1,2,14,1,,,,,15,2,19,2,,,,,,,,,,,,,,,,11,381,,3,,1,,4,29,3,25,3,,,,22,1,276,,,836,,,1,5084,1153
2013,JAKARTA UTARA,PADEMANGAN,ANCOL,4889,5558,5848,65,74,32,8,4,2,2,8,5,,8582,9,,9,481,2,3,,1,,,,,,,,,,,1,3,3,,,,,,1,,9,1,,,1,,,,,,,,,,,1,,6,87,,5,2,1,,5,21,3,3,,,,,102,,114,,,254,,,,2285,211
2013,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,4542,7140,8343,1285,475,37,16,,2,,4,8,,11205,205,6,15,132,,,,23,,,,,,,4,,,,,3,21,,,,,,62,4,13,1,1,,1,,1,,,,,,,1,,,,79,259,11,33,16,8,,20,312,11,21,8,4,2,,13,1,21,,,237,,,,2748,269
2013,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,6306,9892,12474,766,292,35,25,,8,,9,3,,15174,104,4,18,341,4,,,8,,,,,,,1,,,,,,4,,,,,,52,4,23,,,,,,,,,,,,,,,,,76,373,6,30,7,3,,10,250,7,9,3,2,1,,17,,143,,,166,,,3,4121,800
2013,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,5418,7339,8984,1112,475,1058,47,1,6,1,5,7,1,9254,88,3,12,400,,,,16,,,1,,,,,,,,,,7,,,,1,,40,10,21,1,,,5,,,,,,,,,,,,,47,241,3,28,11,2,3,13,185,14,35,5,2,1,,37,1,47,,,281,,,,2912,322
2013,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,11104,14377,15946,423,429,41,46,6,3,1,25,14,10,19078,68,3,24,1817,1,,,7,,,,1,,,3,,,,1,7,8,,,,,,31,5,37,4,,,,,,,,,,,,,,,,27,641,1,14,3,4,,4,108,28,23,1,1,,,3,,165,,,434,1,,,4200,720
2013,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,12821,15274,19811,417,405,47,64,7,9,3,17,11,22,21075,109,4,25,1611,11,,,2,,,,,,,7,,,,,5,9,,,,,,24,1,28,,,,1,,,,,,,,,,,,,34,864,5,17,4,,,1,70,30,39,3,,,,2,,173,,,799,,,1,5054,883
