Nama,Kabupaten,Kecamatan,Kelurahan,Luas,Jenis
JH Percetakan Negara VI, Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
JH Cempaka Putih Timur XVII, Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XXVI, Jakarta Pusat , Cempaka Putih , -   ,1300, Jalur Hijau Jalan 
JH Cempaka Putih Tengah IV, Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat XVI, Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XX B, Jakarta Pusat , Cempaka Putih , -   ,250, Jalur Hijau Jalan 
JH Percetakan Negara Raya, Jakarta Pusat , Cempaka Putih , -   ,595, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XX A, Jakarta Pusat , Cempaka Putih , -   ,450, Jalur Hijau Jalan 
JH Cempaka Putih Tengah I, Jakarta Pusat , Cempaka Putih , -   ,1800, Jalur Hijau Jalan 
JH Rawasari Timur, Jakarta Pusat , Cempaka Putih , -   ,950, Jalur Hijau Jalan 
JH Percetakan Negara III, Jakarta Pusat , Cempaka Putih , -   ,250, Jalur Hijau Jalan 
JH Cempaka Putih Timur VI, Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XV, Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
JH Rawasari Selatan VI, Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Indah, Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
JH Bacang, Jakarta Pusat , Cempaka Putih , -   ,640, Jalur Hijau Jalan 
JH Rawasari Barat I, Jakarta Pusat , Cempaka Putih , -   ,850, Jalur Hijau Jalan 
JH Murdai, Jakarta Pusat , Cempaka Putih , -   ,750, Jalur Hijau Jalan 
JH Pramuka (Rawa Sari), Jakarta Pusat , Cempaka Putih , -   ,11400, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XXXIII, Jakarta Pusat , Cempaka Putih , -   ,3500, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XII, Jakarta Pusat , Cempaka Putih , -   ,600, Jalur Hijau Jalan 
JH Percetakan Negara XI, Jakarta Pusat , Cempaka Putih , -   ,100, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXVI A, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,3600, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,500, Jalur Hijau Jalan 
JH Cempaka Putih Barat XVII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXIII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,300, Jalur Hijau Jalan 
JH Cempaka Putih Barat VII A/D, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,800, Jalur Hijau Jalan 
JH Cempaka Putih Barat XIX, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,400, Jalur Hijau Jalan 
JH Cempaka Putih Barat II A, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat XX, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,400, Jalur Hijau Jalan 
JH Cempaka Putih Barat XV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXVI C, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,600, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXIV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXVI B, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,450, Jalur Hijau Jalan 
JH Cempaka Putih Barat XIV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Barat Raya, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,971, Jalur Hijau Jalan 
JH Cempaka Putih Barat XVIII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,200, Jalur Hijau Jalan 
JH Cempaka Putih Barat VIIa/b, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,600, Jalur Hijau Jalan 
JH Cempaka Putih Barat XXV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Timur III, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,325, Jalur Hijau Jalan 
JH Cempaka Putih Timur XI, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Timur XXIV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Teng. XI, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,600, Jalur Hijau Jalan 
JH Cempaka Putih Tengah Raya, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,6230, Jalur Hijau Jalan 
JH Cempaka Putih Timur XIV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Tengah, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1200, Jalur Hijau Jalan 
JH Letjen Suprapto, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,21048, Jalur Hijau Jalan 
JH Cempaka Putih Timur XI A, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,300, Jalur Hijau Jalan 
JH Cempaka Putih Timur XXX, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,860, Jalur Hijau Jalan 
JH Cempaka Putih Raya, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,7280, Jalur Hijau Jalan 
JH Cempaka Putih Timur V, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
JH Cempaka Putih Timur VII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,800, Jalur Hijau Jalan 
JH Ahmad Yani, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,15786, Jalur Hijau Jalan 
JH Cempaka Putih Timur XXV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,800, Jalur Hijau Jalan 
JH Cempaka Putih Teng. XXVIII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,600, Jalur Hijau Jalan 
JH Cempaka Putih Tengah XXVII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1450, Jalur Hijau Jalan 
JH Cempaka Putih Timur IV, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,300, Jalur Hijau Jalan 
JH Cempaka Putih Teng. XIII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,2300, Jalur Hijau Jalan 
JH Cempaka Putih Timur XII, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
JH Pinggir Kali Utan Kayu, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,77500, Jalur Hijau Jalan 
JH Cempaka Putih Timur XII a, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,220, Jalur Hijau Jalan 
JH Cempaka Putih Timur Raya, Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,6412, Jalur Hijau Jalan 
JH Petojo Selatan IX, Jakarta Pusat , Gambir , -   ,115, Jalur Hijau Jalan 
JH Makmur, Jakarta Pusat , Gambir , -   ,60, Jalur Hijau Jalan 
JH Petojo Barat, Jakarta Pusat , Gambir , -   ,129, Jalur Hijau Jalan 
JH Hayam Wuruk, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Citarum, Jakarta Pusat , Gambir , -   ,450, Jalur Hijau Jalan 
JH Batutulis XIII, Jakarta Pusat , Gambir , -   ,13, Jalur Hijau Jalan 
JH Tidore, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Subur Baru, Jakarta Pusat , Gambir , -   ,1850, Jalur Hijau Jalan 
JH Lematang, Jakarta Pusat , Gambir , -   ,6, Jalur Hijau Jalan 
JH Petojo Sabangan XI, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Persatuan Guru, Jakarta Pusat , Gambir , -   ,743, Jalur Hijau Jalan 
JH Kapuas, Jakarta Pusat , Gambir , -   ,388, Jalur Hijau Jalan 
JH Halmahera, Jakarta Pusat , Gambir , -   ,76, Jalur Hijau Jalan 
JH Tanah Abang V, Jakarta Pusat , Gambir , -   ,964, Jalur Hijau Jalan 
JH Siantar, Jakarta Pusat , Gambir , -   ,1045, Jalur Hijau Jalan 
JH Pembangunan II, Jakarta Pusat , Gambir , -   ,122, Jalur Hijau Jalan 
JH Kesehatan VI, Jakarta Pusat , Gambir , -   ,500, Jalur Hijau Jalan 
JH Petojo Enclek XIV, Jakarta Pusat , Gambir , -   ,64, Jalur Hijau Jalan 
JH Juanda III, Jakarta Pusat , Gambir , -   ,42, Jalur Hijau Jalan 
JH Duri Pulo RW 07, Jakarta Pusat , Gambir , -   ,380, Jalur Hijau Jalan 
JH Cipunegara, Jakarta Pusat , Gambir , -   ,32, Jalur Hijau Jalan 
JH Batu, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Tanah Abang IV, Jakarta Pusat , Gambir , -   ,345, Jalur Hijau Jalan 
JH Sangau, Jakarta Pusat , Gambir , -   ,106, Jalur Hijau Jalan 
JH Pejambon I, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Kesehatan IV, Jakarta Pusat , Gambir , -   ,1200, Jalur Hijau Jalan 
JH Petojo Enclek IX, Jakarta Pusat , Gambir , -   ,12, Jalur Hijau Jalan 
JH Juand IC, Jakarta Pusat , Gambir , -   ,56, Jalur Hijau Jalan 
JH Duri B, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Alaydrus, Jakarta Pusat , Gambir , -   ,10, Jalur Hijau Jalan 
JH Budi Kemuliaan I, Jakarta Pusat , Gambir , -   ,450, Jalur Hijau Jalan 
JH Zainal Arifin, Jakarta Pusat , Gambir , -   ,1484, Jalur Hijau Jalan 
JH Tanah Abang II, Jakarta Pusat , Gambir , -   ,4784, Jalur Hijau Jalan 
JH Petojo Utara VI B, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Pejambon ( Kiri jalan ), Jakarta Pusat , Gambir , -   ,28, Jalur Hijau Jalan 
JH Petojo Binatu Raya, Jakarta Pusat , Gambir , -   ,156, Jalur Hijau Jalan 
JH Kesehatan II, Jakarta Pusat , Gambir , -   ,300, Jalur Hijau Jalan 
JH Juanda I, Jakarta Pusat , Gambir , -   ,24, Jalur Hijau Jalan 
JH Duri A I, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Sangaji, Jakarta Pusat , Gambir , -   ,5098, Jalur Hijau Jalan 
JH Brantas, Jakarta Pusat , Gambir , -   ,194, Jalur Hijau Jalan 
JH Veteran III, Jakarta Pusat , Gambir , -   ,280, Jalur Hijau Jalan 
JH Suryo Pranoto, Jakarta Pusat , Gambir , -   ,6666, Jalur Hijau Jalan 
JH Petojo Selatan VII, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Obira, Jakarta Pusat , Gambir , -   ,22, Jalur Hijau Jalan 
JH Petojo Barat (Pemadam), Jakarta Pusat , Gambir , -   ,200, Jalur Hijau Jalan 
JH Kedutaan Amerika (Samping), Jakarta Pusat , Gambir , -   ,2750, Jalur Hijau Jalan 
JH Jati Baru, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Ciujung, Jakarta Pusat , Gambir , -   ,336, Jalur Hijau Jalan 
JH Belawan, Jakarta Pusat , Gambir , -   ,400, Jalur Hijau Jalan 
JH Veteran I, Jakarta Pusat , Gambir , -   ,800, Jalur Hijau Jalan 
JH Sukajadi, Jakarta Pusat , Gambir , -   ,34, Jalur Hijau Jalan 
JH Majapahit, Jakarta Pusat , Gambir , -   ,746, Jalur Hijau Jalan 
JH Petojo Selatan I, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Perwira, Jakarta Pusat , Gambir , -   ,635, Jalur Hijau Jalan 
JH Kebon Jahe, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Hasyim Ashari, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Cilamaya, Jakarta Pusat , Gambir , -   ,3435, Jalur Hijau Jalan 
JH Subur Raya, Jakarta Pusat , Gambir , -   ,213, Jalur Hijau Jalan 
JH Petojo Sabangan II, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Pembangunan III, Jakarta Pusat , Gambir , -   ,152, Jalur Hijau Jalan 
JH Gadjah Mada (Depan Duta Merlin), Jakarta Pusat , Gambir , -   ,63, Jalur Hijau Jalan 
JH Batu Ceper Raya, Jakarta Pusat , Gambir , -   ,524, Jalur Hijau Jalan 
JH Tanah Abang Timur, Jakarta Pusat , Gambir , -   ,1663, Jalur Hijau Jalan 
JH Sangihe, Jakarta Pusat , Gambir , -   ,96, Jalur Hijau Jalan 
JH Pejambon I A, Jakarta Pusat , Gambir , -   ,10, Jalur Hijau Jalan 
JH Petojo Enclek XIII, Jakarta Pusat , Gambir , -   ,180, Jalur Hijau Jalan 
JH Juanda II, Jakarta Pusat , Gambir , -   ,100, Jalur Hijau Jalan 
JH Duri I, Jakarta Pusat , Gambir , -   ,50, Jalur Hijau Jalan 
JH Balikpapan, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Budi Kemuliaan II, Jakarta Pusat , Gambir , -   ,450, Jalur Hijau Jalan 
JH Tanah Abang III, Jakarta Pusat , Gambir , -   ,729, Jalur Hijau Jalan 
JH Pintu Air Raya, Jakarta Pusat , Gambir , -   ,18, Jalur Hijau Jalan 
JH Pejambon ( Kanan Jalan ), Jakarta Pusat , Gambir , -   ,26, Jalur Hijau Jalan 
JH Petojo Binatu II, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Keshatan III, Jakarta Pusat , Gambir , -   ,921, Jalur Hijau Jalan 
JH Juanda IB, Jakarta Pusat , Gambir , -   ,216, Jalur Hijau Jalan 
JH Duri A VII, Jakarta Pusat , Gambir , -   ,74, Jalur Hijau Jalan 
JH Veteran Raya, Jakarta Pusat , Gambir , -   ,1710, Jalur Hijau Jalan 
JH Tanah Abang I, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Pecenongan Raya, Jakarta Pusat , Gambir , -   ,12, Jalur Hijau Jalan 
JH Petojo Barat VII, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Kesehatan I, Jakarta Pusat , Gambir , -   ,225, Jalur Hijau Jalan 
JH Juanda Raya, Jakarta Pusat , Gambir , -   ,1451, Jalur Hijau Jalan 
JH Duri (Pinggir Tanggul), Jakarta Pusat , Gambir , -   ,256, Jalur Hijau Jalan 
JH Biak, Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
JH Veteran II, Jakarta Pusat , Gambir , -   ,70, Jalur Hijau Jalan 
JH Sukarjo Wiryo Pranoto, Jakarta Pusat , Gambir , -   ,4345, Jalur Hijau Jalan 
JH Cideng Barat, Jakarta Pusat , Gambir , Cideng ,11793, Jalur Hijau Jalan 
JH Duri Pulo, Jakarta Pusat , Gambir , Duri Pulo ,1000, Jalur Hijau Jalan 
JH Duri, Jakarta Pusat , Gambir , Duri Pulo ,620, Jalur Hijau Jalan 
JH Setia kawan, Jakarta Pusat , Gambir , Duri Pulo ,1000, Jalur Hijau Jalan 
JH Medan Merdeka Timur, Jakarta Pusat , Gambir , Gambir ,6306, Jalur Hijau Jalan 
JH Medan Merdeka Selatan, Jakarta Pusat , Gambir , Gambir ,14874, Jalur Hijau Jalan 
JH Medan Merdeka Utara, Jakarta Pusat , Gambir , Gambir ,11679, Jalur Hijau Jalan 
JH Batutulis Raya, Jakarta Pusat , Gambir , Gambir ,1000, Jalur Hijau Jalan 
JH Pinggir Kali, Jakarta Pusat , Gambir , Gambir ,1680, Jalur Hijau Jalan 
JH Medan Merdeka Barat, Jakarta Pusat , Gambir , Gambir ,22138, Jalur Hijau Jalan 
JH Batu Ceper III, Jakarta Pusat , Gambir , Kebon Kelapa ,1000, Jalur Hijau Jalan 
JH Ir. H. Juanda, Jakarta Pusat , Gambir , Kebon Kelapa ,3321, Jalur Hijau Jalan 
JH Kebon Sirih ( Pinggir Kali ), Jakarta Pusat , Gambir , Kebon Sirih ,3640, Jalur Hijau Jalan 
JH Pinggir Kali Ralin, Jakarta Pusat , Gambir , Petojo Selatan ,1100, Jalur Hijau Jalan 
JH Cideng Timur, Jakarta Pusat , Gambir , Petojo Selatan ,12927, Jalur Hijau Jalan 
JH Kesehatan Raya, Jakarta Pusat , Gambir , Petojo Selatan ,1000, Jalur Hijau Jalan 
JH Tanjung Selor, Jakarta Pusat , Gambir , Petojo Selatan ,5721, Jalur Hijau Jalan 
JH Kesehatan, Jakarta Pusat , Gambir , Petojo Selatan ,150, Jalur Hijau Jalan 
JH Abdul Muis, Jakarta Pusat , Gambir , Petojo Selatan ,9537, Jalur Hijau Jalan 
JH Budi Kemuliaan Raya, Jakarta Pusat , Gambir , Petojo Selatan ,2325, Jalur Hijau Jalan 
JH Pemadam (Petojo Utr), Jakarta Pusat , Gambir , Petojo Utara ,460, Jalur Hijau Jalan 
JH AM Sangaji, Jakarta Pusat , Gambir , Petojo Utara ,1000, Jalur Hijau Jalan 
JH Kaji, Jakarta Pusat , Gambir , Petojo Utara ,117, Jalur Hijau Jalan 
JH Duta Merlin, Jakarta Pusat , Gambir , Petojo Utara ,11242, Jalur Hijau Jalan 
JH Binatu, Jakarta Pusat , Gambir , Petojo Utara ,600, Jalur Hijau Jalan 
JH Petojo Utara VI (Pinggir Kali Krukut), Jakarta Pusat , Gambir , Petojo Utara ,2, Jalur Hijau Jalan 
JH Kramat Jaya Baru VI, Jakarta Pusat , Johar Baru , -   ,300, Jalur Hijau Jalan 
JH Percetakan Negara II, Jakarta Pusat , Johar Baru , -   ,3050, Jalur Hijau Jalan 
JH Johar Baru II, Jakarta Pusat , Johar Baru , -   ,400, Jalur Hijau Jalan 
JH Samba, Jakarta Pusat , Johar Baru , -   ,300, Jalur Hijau Jalan 
JH Kampung Rawa Selatan III, Jakarta Pusat , Johar Baru , -   ,1000, Jalur Hijau Jalan 
JH Narada, Jakarta Pusat , Johar Baru , -   ,1000, Jalur Hijau Jalan 
JH Galur, Jakarta Pusat , Johar Baru , -   ,200, Jalur Hijau Jalan 
JH Kramat Jaya Baru IV, Jakarta Pusat , Johar Baru , -   ,400, Jalur Hijau Jalan 
JH Kramat Jaya Baru V, Jakarta Pusat , Johar Baru , -   ,850, Jalur Hijau Jalan 
JH Percetakan Negara Raya, Jakarta Pusat , Johar Baru , -   ,5, Jalur Hijau Jalan 
JH Kramat Jayabaru I, Jakarta Pusat , Johar Baru , -   ,1000, Jalur Hijau Jalan 
JH Kramat Jaya Baru D/II, Jakarta Pusat , Johar Baru , -   ,300, Jalur Hijau Jalan 
JH Percetakan Negara II A, Jakarta Pusat , Johar Baru , -   ,1000, Jalur Hijau Jalan 
JH Johar Baru III, Jakarta Pusat , Johar Baru , -   ,400, Jalur Hijau Jalan 
JH Percetakan Negara I, Jakarta Pusat , Johar Baru , -   ,1400, Jalur Hijau Jalan 
JH Mohammad Ali, Jakarta Pusat , Johar Baru , -   ,1250, Jalur Hijau Jalan 
JH Baladewa, Jakarta Pusat , Johar Baru , -   ,1600, Jalur Hijau Jalan 
JH Kramat Pulo Gundul, Jakarta Pusat , Johar Baru , -   ,960, Jalur Hijau Jalan 
JH Johar Baru V, Jakarta Pusat , Johar Baru , -   ,300, Jalur Hijau Jalan 
JH Pulo Gundul, Jakarta Pusat , Johar Baru , -   ,1500, Jalur Hijau Jalan 
JH Kramat Jaya Baru Raya, Jakarta Pusat , Johar Baru , -   ,1000, Jalur Hijau Jalan 
JH Kramat Jaya Baru E/II, Jakarta Pusat , Johar Baru , -   ,400, Jalur Hijau Jalan 
JH Johar Baru IV, Jakarta Pusat , Johar Baru , -   ,550, Jalur Hijau Jalan 
JH Kramat Jaya R Baru IV, Jakarta Pusat , Johar Baru , Johar Baru ,250, Jalur Hijau Jalan 
JH Kramat Jaya Baru G/I, Jakarta Pusat , Johar Baru , Johar Baru ,200, Jalur Hijau Jalan 
JH Kramat Sentiong, Jakarta Pusat , Johar Baru , Johar Baru ,1100, Jalur Hijau Jalan 
JH Johar Baru VI, Jakarta Pusat , Johar Baru , Johar Baru ,140, Jalur Hijau Jalan 
JH Johar Baru VII (A), Jakarta Pusat , Johar Baru , Johar Baru ,500, Jalur Hijau Jalan 
JH Johar Baru Utara I, Jakarta Pusat , Johar Baru , Johar Baru ,300, Jalur Hijau Jalan 
JH Kramat Jaya R Baru E/I, Jakarta Pusat , Johar Baru , Johar Baru ,250, Jalur Hijau Jalan 
JH Kramat Jaya R. Baru V, Jakarta Pusat , Johar Baru , Johar Baru ,250, Jalur Hijau Jalan 
JH Kawi - Kawi Bawah, Jakarta Pusat , Johar Baru , Johar Baru ,600, Jalur Hijau Jalan 
JH Johar Baru I, Jakarta Pusat , Johar Baru , Johar Baru ,350, Jalur Hijau Jalan 
JH Kramat Jaya Baru G/III, Jakarta Pusat , Johar Baru , Johar Baru ,250, Jalur Hijau Jalan 
JH Mardani Raya (Johar Baru), Jakarta Pusat , Johar Baru , Johar Baru ,2000, Jalur Hijau Jalan 
JH Johar Baru VII (B), Jakarta Pusat , Johar Baru , Johar Baru ,400, Jalur Hijau Jalan 
JH Percetakan Negara IV, Jakarta Pusat , Johar Baru , Johar Baru ,1800, Jalur Hijau Jalan 
JH Kampung Rawa Sel. VI, Jakarta Pusat , Johar Baru , Kampung Rawa ,550, Jalur Hijau Jalan 
JH Kampung Rawa Selatan I, Jakarta Pusat , Johar Baru , Kampung Rawa ,200, Jalur Hijau Jalan 
JH Kampung Rawa Selatan II, Jakarta Pusat , Johar Baru , Kampung Rawa ,140, Jalur Hijau Jalan 
JH Kampung Rawa Sel. IV, Jakarta Pusat , Johar Baru , Kampung Rawa ,1800, Jalur Hijau Jalan 
JH Kampung Rawa Selatan, Jakarta Pusat , Johar Baru , Kampung Rawa ,1800, Jalur Hijau Jalan 
JH Tanah Tinggi I A, Jakarta Pusat , Johar Baru , Tanah Tinggi ,570, Jalur Hijau Jalan 
JH Tanah Tinggi III, Jakarta Pusat , Johar Baru , Tanah Tinggi ,1000, Jalur Hijau Jalan 
JH Tanah Tinggi I, Jakarta Pusat , Johar Baru , Tanah Tinggi ,450, Jalur Hijau Jalan 
JH Let. Jend. Suprapto (Tanah Tinggi), Jakarta Pusat , Johar Baru , Tanah Tinggi ,2600, Jalur Hijau Jalan 
JH Tanah Tinggi XII, Jakarta Pusat , Johar Baru , Tanah Tinggi ,800, Jalur Hijau Jalan 
JH Tanah Tinggi II, Jakarta Pusat , Johar Baru , Tanah Tinggi ,200, Jalur Hijau Jalan 
JH Senapan, Jakarta Pusat , Kemayoran , -   ,641, Jalur Hijau Jalan 
JH Kodam, Jakarta Pusat , Kemayoran , -   ,237, Jalur Hijau Jalan 
JH Remaja, Jakarta Pusat , Kemayoran , -   ,126, Jalur Hijau Jalan 
JH Topaz, Jakarta Pusat , Kemayoran , -   ,214, Jalur Hijau Jalan 
JH Pualam, Jakarta Pusat , Kemayoran , -   ,416, Jalur Hijau Jalan 
JH Tembaga, Jakarta Pusat , Kemayoran , -   ,485, Jalur Hijau Jalan 
JH Jiung, Jakarta Pusat , Kemayoran , -   ,216, Jalur Hijau Jalan 
JH Perunggu, Jakarta Pusat , Kemayoran , -   ,221, Jalur Hijau Jalan 
JH Intan, Jakarta Pusat , Kemayoran , -   ,262, Jalur Hijau Jalan 
JH Cempaka Sari III dan IV, Jakarta Pusat , Kemayoran , -   ,1200, Jalur Hijau Jalan 
JH Sten, Jakarta Pusat , Kemayoran , -   ,443, Jalur Hijau Jalan 
JH Mutiara, Jakarta Pusat , Kemayoran , -   ,1535, Jalur Hijau Jalan 
JH Granat, Jakarta Pusat , Kemayoran , -   ,1000, Jalur Hijau Jalan 
JH Bendungan Jago (Gg F), Jakarta Pusat , Kemayoran , -   ,874, Jalur Hijau Jalan 
JH Letjen Suprapto (Harapan Mulya), Jakarta Pusat , Kemayoran , -   ,600, Jalur Hijau Jalan 
JH Kran, Jakarta Pusat , Kemayoran , -   ,1013, Jalur Hijau Jalan 
JH Basoka Raya, Jakarta Pusat , Kemayoran , -   ,1030, Jalur Hijau Jalan 
JH Kali Sentiong, Jakarta Pusat , Kemayoran , -   ,800, Jalur Hijau Jalan 
JH Remaja III, Jakarta Pusat , Kemayoran , -   ,187, Jalur Hijau Jalan 
JH Kepu Timur, Jakarta Pusat , Kemayoran , -   ,7046, Jalur Hijau Jalan 
JH Ranjau, Jakarta Pusat , Kemayoran , -   ,8728, Jalur Hijau Jalan 
JH Timah, Jakarta Pusat , Kemayoran , -   ,414, Jalur Hijau Jalan 
JH Kali Baru Timur IV, Jakarta Pusat , Kemayoran , -   ,414, Jalur Hijau Jalan 
JH Pirus, Jakarta Pusat , Kemayoran , -   ,491, Jalur Hijau Jalan 
JH Jambrut, Jakarta Pusat , Kemayoran , -   ,1011, Jalur Hijau Jalan 
JH Biduri Bulan, Jakarta Pusat , Kemayoran , -   ,407, Jalur Hijau Jalan 
JH Cempaka Wangi, Jakarta Pusat , Kemayoran , -   ,1000, Jalur Hijau Jalan 
JH PAM, Jakarta Pusat , Kemayoran , -   ,107, Jalur Hijau Jalan 
JH Howitzer, Jakarta Pusat , Kemayoran , -   ,1390, Jalur Hijau Jalan 
JH Sukamulya, Jakarta Pusat , Kemayoran , -   ,1400, Jalur Hijau Jalan 
JH Bendungan Jago, Jakarta Pusat , Kemayoran , -   ,940, Jalur Hijau Jalan 
JH Harapan Mulia Ex. TPU, Jakarta Pusat , Kemayoran , -   ,1400, Jalur Hijau Jalan 
JH Mortir, Jakarta Pusat , Kemayoran , -   ,617, Jalur Hijau Jalan 
JH Garuda, Jakarta Pusat , Kemayoran , -   ,1830, Jalur Hijau Jalan 
JH Benda, Jakarta Pusat , Kemayoran , -   ,678, Jalur Hijau Jalan 
JH Cempaka Sari, Jakarta Pusat , Kemayoran , -   ,200, Jalur Hijau Jalan 
JH Cempaka Baru VI, Jakarta Pusat , Kemayoran , Cempaka Baru ,717, Jalur Hijau Jalan 
JH Sumur Batu Selatan, Jakarta Pusat , Kemayoran , Cempaka Baru ,700, Jalur Hijau Jalan 
JH Cempaka Baru II, Jakarta Pusat , Kemayoran , Cempaka Baru ,200, Jalur Hijau Jalan 
JH Cempaka Baru VII, Jakarta Pusat , Kemayoran , Cempaka Baru ,800, Jalur Hijau Jalan 
JH Cempaka Baru Tengah, Jakarta Pusat , Kemayoran , Cempaka Baru ,1800, Jalur Hijau Jalan 
JH Cempaka Baru Timur, Jakarta Pusat , Kemayoran , Cempaka Baru ,790, Jalur Hijau Jalan 
JH Letjen Suprapto (Cempaka Baru), Jakarta Pusat , Kemayoran , Cempaka Baru ,900, Jalur Hijau Jalan 
JH Cempaka Baru Timur A, Jakarta Pusat , Kemayoran , Cempaka Baru ,660, Jalur Hijau Jalan 
