Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Belum Kawin,13755,13755,13526,278,931
2015,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Belum Kawin,20437,20437,20111,382,1250
2015,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Belum Kawin,14007,14007,13538,184,581
2015,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Belum Kawin,21594,21594,21322,362,1313
2015,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Belum Kawin,32544,32544,30998,537,1892
2015,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Belum Kawin,20465,20465,19554,458,1296
2015,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Belum Kawin,24131,24131,23805,304,902
2015,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Belum Kawin,23531,23531,22936,402,1241
2015,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Belum Kawin,30272,30272,29642,572,1807
2015,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Belum Kawin,21704,21704,21591,263,867
2015,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Belum Kawin,23949,23949,23977,277,676
2015,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Belum Kawin,24235,24235,24035,339,1223
2015,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Belum Kawin,21728,21728,22151,334,992
2015,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Belum Kawin,27694,27694,27723,698,1755
2015,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Belum Kawin,19700,19700,19305,389,1024
2015,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Belum Kawin,24385,24385,23972,445,1422
2015,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Belum Kawin,12126,12126,11754,309,635
2015,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Belum Kawin,15047,15047,14145,407,961
2015,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Belum Kawin,1459,1459,1541,58,80
2015,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Belum Kawin,4997,4997,5083,138,404
2015,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Belum Kawin,7968,7968,7725,211,459
2015,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Belum Kawin,1631,1631,1862,57,85
2015,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Belum Kawin,3041,3041,3139,78,158
2015,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Belum Kawin,1891,1891,1842,65,152
2015,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Belum Kawin,3298,3298,3149,95,274
2015,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Belum Kawin,6577,6577,6482,156,412
2015,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Belum Kawin,22139,22139,21958,463,1096
2015,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Belum Kawin,18898,18898,18435,316,1000
2015,JAKARTA SELATAN,PANCORAN,PANCORAN,Belum Kawin,10709,10709,10145,196,682
2015,JAKARTA SELATAN,PANCORAN,KALIBATA,Belum Kawin,23475,23475,22388,361,1422
2015,JAKARTA SELATAN,PANCORAN,RAWA JATI,Belum Kawin,10232,10232,10123,301,601
2015,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Belum Kawin,15714,15714,15057,415,1082
2015,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Belum Kawin,11145,11145,11288,283,875
2015,JAKARTA SELATAN,PANCORAN,CIKOKO,Belum Kawin,6236,6236,6200,110,261
2015,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Belum Kawin,32442,32442,31730,538,1607
2015,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Belum Kawin,30820,30820,29932,517,1954
2015,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Belum Kawin,19271,19271,19416,197,778
2015,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Belum Kawin,28946,28946,27534,501,1807
2015,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Belum Kawin,21501,21501,20473,328,1184
2015,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Belum Kawin,19508,19508,18683,236,867
2015,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Belum Kawin,15198,15198,14642,196,573
2015,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Belum Kawin,28041,28041,27738,506,1222
2015,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Belum Kawin,28868,28868,28164,406,1380
2015,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Belum Kawin,19756,19756,18799,296,1112
2015,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Belum Kawin,22488,22488,21781,249,1055
2015,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Belum Kawin,18211,18211,16839,527,1665
2015,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Belum Kawin,16067,16067,16182,227,520
2015,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Belum Kawin,14746,14746,13971,278,1174
2015,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,Belum Kawin,11556,11556,11040,206,756
2015,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Belum Kawin,9554,9554,9165,226,776
2015,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Belum Kawin,18685,18685,19374,174,845
2015,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Belum Kawin,18784,18784,18870,223,824
2015,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Belum Kawin,23347,23347,23413,375,1170
